New York City Department of Education,,,,,,,,,,,,,,,
NYC Results on the New York State 2013-2016 Math Test (Grades 3-8),,,,,,,,,,,,,,,
District Summary,,,,,,,,,,,,,,,
Results for All Students,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
,,,,,,Level 1,,Level 2,,Level 3,,Level 4,,Level 3+4,
district,Grade,Year,Category,Number Tested,Mean Scale Score,#,%,#,%,#,%,#,%,#,%
3,8,2014,All Students,816,288,358,43.9,328,40.2,118,14.5,12,1.5,130,15.9
3,8,2015,All Students,735,287,327,44.5,307,41.8,81,11,20,2.7,101,13.7
3,8,2016,All Students,752,286,330,43.9,307,40.8,86,11.4,29,3.9,115,15.3
3,All Grades,2013,All Students,8163,310,2324,28.5,2346,28.7,1678,20.6,1815,22.2,3493,42.8
3,All Grades,2014,All Students,7605,314,1961,25.8,2006,26.4,1610,21.2,2028,26.7,3638,47.8
3,All Grades,2015,All Students,7323,316,1766,24.1,1893,25.9,1565,21.4,2099,28.7,3664,50
3,All Grades,2016,All Students,7223,316,1689,23.4,1860,25.8,1441,20,2233,30.9,3674,50.9
4,3,2013,All Students,1056,293,410,38.8,378,35.8,174,16.5,94,8.9,268,25.4
4,3,2014,All Students,990,299,333,33.6,295,29.8,228,23,134,13.5,362,36.6
4,3,2015,All Students,973,300,319,32.8,310,31.9,198,20.3,146,15,344,35.4
4,3,2016,All Students,931,301,264,28.4,321,34.5,195,20.9,151,16.2,346,37.2
4,4,2013,All Students,1088,295,394,36.2,387,35.6,190,17.5,117,10.8,307,28.2
4,4,2014,All Students,1028,291,407,39.6,349,33.9,167,16.2,105,10.2,272,26.5
4,4,2015,All Students,978,295,365,37.3,300,30.7,168,17.2,145,14.8,313,32
4,4,2016,All Students,961,295,357,37.1,287,29.9,169,17.6,148,15.4,317,33
4,5,2013,All Students,1061,290,547,51.6,281,26.5,176,16.6,57,5.4,233,22
4,5,2014,All Students,1040,301,411,39.5,296,28.5,211,20.3,122,11.7,333,32
4,5,2015,All Students,948,297,409,43.1,279,29.4,173,18.2,87,9.2,260,27.4
4,5,2016,All Students,968,299,407,42,251,25.9,194,20,116,12,310,32
4,6,2013,All Students,1013,291,380,37.5,452,44.6,109,10.8,72,7.1,181,17.9
4,6,2014,All Students,997,290,411,41.2,364,36.5,124,12.4,98,9.8,222,22.3
4,6,2015,All Students,1000,295,377,37.7,378,37.8,144,14.4,101,10.1,245,24.5
4,6,2016,All Students,945,293,342,36.2,366,38.7,114,12.1,123,13,237,25.1
4,7,2013,All Students,1079,289,575,53.3,337,31.2,130,12,37,3.4,167,15.5
4,7,2014,All Students,1014,292,475,46.8,347,34.2,139,13.7,53,5.2,192,18.9
4,7,2015,All Students,988,293,453,45.9,309,31.3,153,15.5,73,7.4,226,22.9
4,7,2016,All Students,1004,294,476,47.4,303,30.2,142,14.1,83,8.3,225,22.4
4,8,2013,All Students,1099,289,501,45.6,431,39.2,127,11.6,40,3.6,167,15.2
4,8,2014,All Students,1012,292,412,40.7,386,38.1,148,14.6,66,6.5,214,21.1
4,8,2015,All Students,870,287,426,49,314,36.1,93,10.7,37,4.3,130,14.9
4,8,2016,All Students,855,281,468,54.7,247,28.9,96,11.2,44,5.1,140,16.4
4,All Grades,2013,All Students,6396,291,2807,43.9,2266,35.4,906,14.2,417,6.5,1323,20.7
4,All Grades,2014,All Students,6081,294,2449,40.3,2037,33.5,1017,16.7,578,9.5,1595,26.2
4,All Grades,2015,All Students,5757,295,2349,40.8,1890,32.8,929,16.1,589,10.2,1518,26.4
4,All Grades,2016,All Students,5664,294,2314,40.9,1775,31.3,910,16.1,665,11.7,1575,27.8
5,3,2013,All Students,965,282,473,49,337,34.9,127,13.2,28,2.9,155,16.1
5,3,2014,All Students,933,281,468,50.2,304,32.6,124,13.3,37,4,161,17.3
5,3,2015,All Students,888,285,449,50.6,262,29.5,128,14.4,49,5.5,177,19.9
5,3,2016,All Students,785,286,342,43.6,267,34,125,15.9,51,6.5,176,22.4
5,4,2013,All Students,923,279,514,55.7,267,28.9,118,12.8,24,2.6,142,15.4
