DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
02/01/2016,8:55,,,,,,,,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3381467,PICK-UP TRUCK,PASSENGER VEHICLE,,,
02/01/2016,8:55,,,,,,ESSEX STREET,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3381493,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/01/2016,8:50,,,,,,ZEREGA AVENUE,SAINT RAYMOND AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381307,PASSENGER VEHICLE,OTHER,,,
02/01/2016,8:50,STATEN ISLAND,10304,40.617789,-74.0811029,"(40.617789, -74.0811029)",OSGOOD AVENUE,VANDERBILT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3382540,BUS,PASSENGER VEHICLE,,,
02/01/2016,8:45,,,,,,,,PARKING LOT--772 EDGEWATER RD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381279,LARGE COM VEH(6 OR MORE TIRES),LARGE COM VEH(6 OR MORE TIRES),,,
02/01/2016,8:45,QUEENS,11375,40.7236339,-73.8448206,"(40.7236339, -73.8448206)",108 STREET,JEWEL AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381742,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
02/01/2016,8:45,BRONX,10459,40.8187987,-73.8921191,"(40.8187987, -73.8921191)",BARRETTO STREET,BRUCKNER BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381280,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
02/01/2016,8:44,BROOKLYN,11221,40.6933544,-73.9341311,"(40.6933544, -73.9341311)",DEKALB AVENUE,STUYVESANT AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3381524,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,,
02/01/2016,8:44,QUEENS,11368,40.756684,-73.8579292,"(40.756684, -73.8579292)",34 AVENUE,111 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3381786,PASSENGER VEHICLE,UNKNOWN,,,
02/01/2016,8:41,MANHATTAN,10065,40.7639911,-73.958782,"(40.7639911, -73.958782)",EAST 66 STREET,1 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3381206,PASSENGER VEHICLE,UNKNOWN,,,
02/01/2016,8:40,,,40.7920181,-73.9804953,"(40.7920181, -73.9804953)",,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3381219,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
