time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-11T18:35:40.800Z,-5.8984,148.918,129.87,4.9,mb,,46,3.651,0.8,us,us10007sl2,2017-01-11T18:55:08.040Z,"78km WNW of Kandrian, Papua New Guinea",earthquake,7,1.6,0.053,113,reviewed,us,us
2017-01-11T16:23:10.030Z,12.2041,141.1889,56.77,4.8,mb,,96,3.842,0.54,us,us10007skl,2017-01-11T22:18:37.040Z,"279km NNE of Fais, Micronesia",earthquake,10,6.3,0.067,69,reviewed,us,us
2017-01-11T15:50:29.670Z,34.44,22.493,19.13,4.5,mb,,179,2.771,1.02,us,us10007skd,2017-01-11T22:07:09.040Z,"139km SW of Palaiochora, Greece",earthquake,9.2,5.7,0.061,80,reviewed,us,us
2017-01-11T14:38:39.070Z,12.2323,141.0752,10,5.5,mb,,47,3.936,1.05,us,us10007sk0,2017-01-11T16:44:33.175Z,"279km NNE of Fais, Micronesia",earthquake,8.8,1.9,0.048,150,reviewed,us,us
2017-01-11T14:28:04.880Z,40.6567,51.9821,38.17,4.6,mb,,58,5.482,0.78,us,us10007sjy,2017-01-11T14:45:48.040Z,"108km NW of Turkmenbasy, Turkmenistan",earthquake,6.6,8.2,0.082,45,reviewed,us,us
2017-01-11T14:20:59.950Z,12.2512,141.0389,10,4.9,mb,,59,3.963,0.83,us,us10007sjv,2017-01-11T14:38:11.040Z,"280km NNE of Fais, Micronesia",earthquake,3.2,1.9,0.065,74,reviewed,us,us
2017-01-11T06:24:53.040Z,13.4537,124.1312,67.05,4.8,mb,,100,9.923,1.26,us,us10007sit,2017-01-13T03:27:50.674Z,"16km SSE of Calolbon, Philippines",earthquake,10.7,7.5,0.063,77,reviewed,us,us
2017-01-11T02:49:18.570Z,-6.1542,154.4855,58.51,5,mb,,53,3.024,0.95,us,us10007si6,2017-01-11T03:05:47.040Z,"112km W of Panguna, Papua New Guinea",earthquake,6.6,5.8,0.056,101,reviewed,us,us
2017-01-11T02:36:30.590Z,0.5927,-80.009,10,4.9,mwr,,82,1.61,0.96,us,us10007si5,2017-01-11T03:20:32.660Z,"2km ESE of Muisne, Ecuador",earthquake,5.6,1.2,0.075,17,reviewed,us,us
2017-01-11T00:19:21.930Z,-41.7131,174.2686,19.49,4.5,mb,,102,0.054,0.67,us,us10007shp,2017-01-11T08:27:54.145Z,"34km SE of Blenheim, New Zealand",earthquake,1.7,4.9,0.204,7,reviewed,us,us
2017-01-10T17:10:53.980Z,-8.1807,117.5728,24.84,4.6,mb,,65,3.397,1.1,us,us10007sdm,2017-01-11T15:27:50.040Z,"22km WSW of Labuhankananga, Indonesia",earthquake,7.4,5.9,0.09,37,reviewed,us,us
2017-01-10T16:21:55.560Z,27.5876,139.97,462.02,4.8,mb,,48,2.029,0.69,us,us10007sdg,2017-01-10T18:08:50.040Z,"229km WNW of Chichi-shima, Japan",earthquake,8.6,6.3,0.03,330,reviewed,us,us
2017-01-10T15:27:15.090Z,-10.1328,161.0275,28.47,6.3,mww,,14,1.268,0.67,us,us10007sd4,2017-01-11T01:20:42.431Z,"104km WNW of Kirakira, Solomon Islands",earthquake,7.5,3,,,reviewed,us,us
2017-01-10T14:59:49.000Z,-31.335,-70.939,93.1,5,mwr,,,,0.62,us,us10007sd0,2017-01-11T13:16:04.341Z,"39km NNE of Illapel, Chile",earthquake,4.8,6,,,reviewed,guc,guc
2017-01-10T14:19:28.010Z,50.3429,-173.5777,21.62,4.5,mb,,99,2.347,0.56,us,us10007scy,2017-01-10T20:50:34.480Z,"210km SSE of Atka, Alaska",earthquake,7.5,5,0.037,215,reviewed,us,us
2017-01-10T12:44:54.880Z,38.2946,21.7512,23.48,4.5,mb,,52,1.122,1.13,us,us10007scl,2017-01-10T17:04:02.040Z,"2km WSW of Rion, Greece",earthquake,6.9,6.3,0.079,47,reviewed,us,us
