time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-14T03:21:34.920Z,-17.5156,-14.1055,10,4.7,mb,,68,8.157,0.66,us,us10001mb2,2015-03-14T11:24:08.619Z,"Southern Mid-Atlantic Ridge",earthquake
2015-03-14T00:18:44.150Z,-57.4706,-66.7368,10,4.7,mb,,157,4.977,0.76,us,us10001mae,2015-03-14T08:21:15.519Z,"Drake Passage",earthquake
2015-03-13T21:18:46.260Z,-6.3617,146.1709,103.58,4.9,mb,,34,3.178,0.93,us,us10001m96,2015-03-14T05:21:18.081Z,"34km ESE of Kainantu, Papua New Guinea",earthquake
2015-03-13T20:56:40.930Z,-18.6849,-177.817,578.76,4.7,mb,,121,4.035,0.69,us,us10001n4f,2015-03-17T16:40:21.017Z,"236km NNE of Ndoi Island, Fiji",earthquake
2015-03-13T19:16:06.960Z,-44.5275,-72.9109,11.99,5,mb,,96,1.514,0.71,us,us10001m7j,2015-03-14T16:25:17.825Z,"29km NW of Puerto Cisnes, Chile",earthquake
2015-03-13T18:19:46.190Z,0.6044,126.6714,66.55,4.7,mb,,54,0.714,0.96,us,us10001m73,2015-03-14T16:08:21.071Z,"79km WSW of Kota Ternate, Indonesia",earthquake
2015-03-13T17:35:13.420Z,-15.9579,-69.571,233.52,4.8,mb,,88,1.422,1.35,us,us10001m6s,2015-03-14T15:46:07.498Z,"17km NE of Ilave, Peru",earthquake
2015-03-13T16:15:25.850Z,26.3604,141.3255,102.8,4.8,mb,,101,1.061,1.39,us,us10001m5i,2015-03-14T00:23:51.791Z,"119km SW of Chichi-shima, Japan",earthquake
2015-03-13T09:21:52.800Z,-6.9426,129.2905,149.62,4.6,mb,,63,2.243,1.23,us,us10001m2e,2015-03-13T17:24:32.750Z,"249km WNW of Saumlaki, Indonesia",earthquake
2015-03-13T06:46:45.450Z,-55.1707,-128.8193,10,4.9,mb,,116,31.469,0.59,us,us10001m1z,2015-03-13T14:49:25.925Z,"Pacific-Antarctic Ridge",earthquake
2015-03-13T06:46:17.030Z,51.9528,160.6302,33.8,4.7,mb,,119,1.617,0.87,us,us10001m1x,2015-03-13T14:49:00.999Z,"181km SE of Petropavlovsk-Kamchatskiy, Russia",earthquake
2015-03-13T00:54:57.230Z,0.2647,98.5382,40,4.7,mb,,147,1.411,1.08,us,us10001m13,2015-03-13T08:57:30.621Z,"146km SSW of Padangsidempuan, Indonesia",earthquake
2015-03-12T22:08:57.660Z,-22.4849,170.2283,15.53,4.6,mb,,102,3.529,1.1,us,us10001lzx,2015-03-13T06:11:39.528Z,"187km W of Ile Hunter, New Caledonia",earthquake
2015-03-12T21:03:01.310Z,24.2974,123.7337,21.91,4.7,mb,,71,0.68,0.64,us,us10001lz9,2015-03-13T05:05:33.247Z,"43km W of Ishigaki, Japan",earthquake
2015-03-12T19:47:14.470Z,52.858,-162.885,10,5.3,mb,,64,2.027,1.31,us,us10001lxx,2015-03-17T18:37:02.070Z,"224km S of False Pass, Alaska",earthquake
2015-03-12T15:23:25.570Z,8.0586,-39.5483,8.33,5,mb,,75,14.266,0.75,us,us10001lvy,2015-03-13T17:00:45.850Z,"Central Mid-Atlantic Ridge",earthquake
2015-03-12T11:02:40.350Z,37.3419,141.5514,40.27,5.1,mb,,127,0.801,0.9,us,us10001lvg,2015-03-13T09:10:18.802Z,"51km ESE of Namie, Japan",earthquake
2015-03-12T07:50:03.110Z,13.1035,145.5271,42.83,5.2,mb,,45,0.802,0.63,us,us10001luu,2015-03-12T15:52:29.974Z,"83km SE of Yigo Mayor's Office, Guam",earthquake
2015-03-12T07:20:55.500Z,13.1,145.231,43.78,4.7,mb,,105,0.6,0.86,us,us10001lur,2015-03-12T15:23:35.462Z,"55km ESE of Inarajan Village, Guam",earthquake
2015-03-12T06:50:44.330Z,13.1449,145.2324,45.33,4.9,mb,,97,0.566,0.99,us,us10001luj,2015-03-12T14:53:24.114Z,"53km ESE of Inarajan Mayor's Office, Guam",earthquake
2015-03-12T06:28:11.460Z,13.1353,145.4379,46.39,5,mb,,98,0.714,0.85,us,us10001lug,2015-03-12T06:56:29.789Z,"73km SE of Yigo Mayor's Office, Guam",earthquake
2015-03-12T06:03:43.520Z,13.1503,145.415,40.06,5.1,mb,,94,0.688,0.9,us,us10001lue,2015-03-12T06:22:23.786Z,"70km SE of Yigo Mayor's Office, Guam",earthquake
2015-03-12T00:42:33.760Z,38.4287,49.1377,45.17,4.5,mb,,56,3.819,0.86,us,us10001ltc,2015-03-12T09:32:23.588Z,"23km E of Astara, Iran",earthquake
2015-03-11T19:14:37.290Z,36.4567,71.0811,89.53,4.5,mb,,80,0.781,0.94,us,us10001lne,2015-03-12T03:17:06.518Z,"47km WSW of Ashkasham, Afghanistan",earthquake
2015-03-11T18:53:23.120Z,-30.3516,-177.2397,10,4.9,mb,,100,8.086,0.75,us,us10001ln5,2015-03-12T02:56:06.874Z,"136km SSE of Raoul Island, New Zealand",earthquake
2015-03-11T18:02:15.740Z,-17.4643,-178.8191,529.8,4.8,mb,,71,2.996,0.87,us,us10001lmg,2015-03-12T02:04:41.639Z,"223km ESE of Lambasa, Fiji",earthquake
2015-03-11T16:23:38.990Z,10.6027,-86.4631,20.91,5.4,mwr,,81,1.016,1.22,us,us10001lk3,2015-03-12T03:16:02.412Z,"89km W of Sardinal, Costa Rica",earthquake
