time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-15T21:19:13.750Z,-9.7146,112.8514,40.33,4.5,mb,,89,1.782,1.12,us,us10001ml0,2015-03-16T05:21:57.067Z,"145km S of Krajan Tambakrejo, Indonesia",earthquake
2015-03-15T20:21:07.420Z,36.7437,71.3891,173.8,4.4,mb,,69,0.754,0.57,us,us10001mk9,2015-03-16T04:23:51.420Z,"14km WNW of Ashkasham, Afghanistan",earthquake
2015-03-15T18:42:45.870Z,-4.8884,101.6339,25.6,4.6,mb,,114,1.418,1.07,us,us10001mk0,2015-03-16T02:45:27.687Z,"139km SSW of Bengkulu, Indonesia",earthquake
2015-03-15T18:35:02.700Z,18.9545,-64.995,34,2.9,Md,4,334.8,0.69888929,0.17,pr,pr15074004,2015-03-16T02:37:37.313Z,"68km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-03-15T18:23:19.000Z,65.8993,-147.0877,1.1,3.1,ml,,,,0.69,ak,ak11529274,2015-03-16T02:25:53.851Z,"110km SW of Fort Yukon, Alaska",earthquake
2015-03-15T17:22:04.430Z,11.8858,-89.063,44.06,4.5,mb,,175,1.797,0.74,us,us10001mjq,2015-03-16T01:24:30.921Z,"164km SSW of Puerto El Triunfo, El Salvador",earthquake
2015-03-15T16:44:32.580Z,-0.9246,123.1798,50.92,4.3,mb,,74,0.424,0.62,us,us10001mjh,2015-03-16T00:47:01.477Z,"43km E of Luwuk, Indonesia",earthquake
2015-03-15T16:25:37.780Z,13.7343,-92.8376,51.71,5.1,mb,,92,1.358,0.7,us,us10001mjg,2015-03-16T00:28:23.789Z,"110km SW of Ocos, Guatemala",earthquake
2015-03-15T16:24:31.580Z,38.9658,68.7859,28.38,4.5,mb,,115,2.317,0.94,us,us10001mjf,2015-03-16T00:27:01.623Z,"17km NW of Tagob, Tajikistan",earthquake
2015-03-15T14:22:55.530Z,-5.7905,130.3558,46.93,5.2,mb,,33,2.37,0.96,us,us10001mj9,2015-03-15T22:25:39.218Z,"261km NNW of Saumlaki, Indonesia",earthquake
2015-03-15T14:01:02.890Z,43.0819,76.9033,26.09,4.8,mb,,58,4.681,0.59,us,us10001mj7,2015-03-16T06:13:36.210Z,"19km SSW of Almaty, Kazakhstan",earthquake
2015-03-15T12:50:14.240Z,35.7577,-97.3733,7.7,2.5,mb_lg,,38,0.076,0.44,us,us10001mmy,2015-03-16T15:24:12.528Z,"14km SSE of Guthrie, Oklahoma",earthquake
2015-03-15T11:22:14.200Z,35.6646,5.6814,10,4.7,mb,,93,2.983,0.98,us,us10001mic,2015-03-15T19:24:47.341Z,"3km ESE of Ras el Aioun, Algeria",earthquake
2015-03-15T10:50:53.980Z,37.482,-118.8386667,3.3,2.78,md,31,60,0.1081,0.05,nc,nc72411625,2015-03-16T23:45:06.931Z,"21km SSE of Mammoth Lakes, California",earthquake
2015-03-15T09:20:03.000Z,58.1428,-154.7425,78.9,3.3,ml,,,,0.77,ak,ak11528981,2015-03-18T16:54:06.968Z,"81km NW of Larsen Bay, Alaska",earthquake
2015-03-15T08:56:09.000Z,60.9646,-150.8301,2.5,2.6,ml,,,,0.9,ak,ak11528977,2015-03-15T16:59:10.845Z,"39km NE of Nikiski, Alaska",earthquake
2015-03-15T08:03:13.720Z,12.6818,119.9335,35,4.5,mb,,88,7.546,0.62,us,us10001mhu,2015-03-15T16:05:55.877Z,"50km N of Buluang, Philippines",earthquake
2015-03-15T08:00:39.500Z,18.652,-65.1311,34,2.8,Md,9,298.8,0.3701059,0.09,pr,pr15074003,2015-03-15T16:03:14.023Z,"40km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-03-15T07:02:35.780Z,37.9603333,-77.9526667,4.96,2.8,mlg,13,46,0.05856,0.21,se,se60005318,2015-03-17T21:26:52.966Z,"9km SSE of Louisa, Virginia",earthquake
2015-03-15T05:19:14.920Z,36.5911,-97.3516,3.31,2.9,mb_lg,,48,0.204,0.42,us,us10001mh9,2015-03-15T13:21:52.310Z,"10km SSW of Tonkawa, Oklahoma",earthquake
2015-03-15T05:10:04.280Z,36.2691,-97.2814,6.03,3.1,mb_lg,,56,0.473,0.38,us,us10001mh8,2015-03-16T03:27:50.103Z,"2km SSE of Perry, Oklahoma",earthquake
2015-03-15T04:47:21.200Z,18.7214,146.4191,57.52,5.8,mwp,,57,5.315,0.73,us,us10001mh6,2015-03-17T04:01:15.000Z,"79km E of Agrihan, Northern Mariana Islands",earthquake
2015-03-15T04:20:05.870Z,40.5776667,-124.8376667,10.51,2.75,md,64,250,0.4935,0.22,nc,nc72411520,2015-03-17T00:00:06.248Z,"48km W of Ferndale, California",earthquake
2015-03-15T03:23:04.740Z,15.1619,146.3254,69.13,4.4,mb,,98,2.106,0.52,us,us10001mgz,2015-03-15T11:25:34.529Z,"61km E of Saipan, Northern Mariana Islands",earthquake
2015-03-15T02:59:47.290Z,-21.9878,-68.8425,102.55,4.6,mb,,46,0.417,0.72,us,us10001mgq,2015-03-15T11:02:19.684Z,"53km N of Calama, Chile",earthquake
2015-03-15T02:58:04.540Z,36.6048,-97.6888,5,2.6,mb_lg,,71,0.257,0.23,us,us10001mgn,2015-03-15T03:42:18.076Z,"22km S of Medford, Oklahoma",earthquake
2015-03-15T02:17:03.150Z,-22.2706,-176.3995,67.9,5.2,mb,,40,6.842,1.01,us,us10001mgf,2015-03-15T21:48:00.040Z,"171km SW of Vaini, Tonga",earthquake
2015-03-15T00:21:48.920Z,-14.6651,-73.506,88.71,4.4,mb,,148,4.773,1.29,us,us10001mg0,2015-03-15T08:24:22.235Z,"46km ENE of Tambo, Peru",earthquake
2015-03-14T23:32:54.810Z,-71.7919,-126.3183,10,5,mb,,79,17.474,0.77,us,us10001mft,2015-03-15T07:35:32.395Z,"186km N of Siple, Mount, Antarctica",earthquake
2015-03-14T23:15:12.850Z,-5.6732,146.3768,68.14,4.9,mb,,74,3.738,0.78,us,us10001mfq,2015-03-14T23:34:21.818Z,"81km SE of Madang, Papua New Guinea",earthquake
2015-03-14T22:41:14.500Z,-15.3627,-173.3948,10,4.6,mb,,88,2.13,0.6,us,us10001mfk,2015-03-15T06:43:49.443Z,"75km NNE of Hihifo, Tonga",earthquake
2015-03-14T22:30:59.920Z,-5.729,146.4032,81.06,4.8,mb,,57,3.728,0.67,us,us10001mfe,2015-03-15T06:33:42.672Z,"85km NE of Kainantu, Papua New Guinea",earthquake
2015-03-14T21:59:14.940Z,-2.173,141.4916,10,5.2,mb,,91,9.13,0.71,us,us10001mf9,2015-03-15T06:01:44.818Z,"59km NNE of Vanimo, Papua New Guinea",earthquake
2015-03-14T21:39:36.000Z,52.0941,-170.2445,34.9,2.6,ml,9,230.399981568002,,0.52,ak,ak11530777,2015-03-18T02:30:02.334Z,"67km SSE of Yunaska Island, Alaska",earthquake
2015-03-14T21:28:12.000Z,51.0168,179.4503,0.4,3.5,ml,11,291.599976672002,,0.51,ak,ak11528718,2015-03-18T02:28:25.529Z,"104km S of Semisopochnoi Island, Alaska",earthquake
2015-03-14T21:13:14.300Z,36.5794,-97.373,5,3,mb_lg,,49,0.224,0.66,us,us10001mf4,2015-03-15T05:15:49.634Z,"12km SSW of Tonkawa, Oklahoma",earthquake
2015-03-14T20:21:32.540Z,-18.4079,-175.3665,208.04,4.9,mb,,56,5.196,1.01,us,us10001mes,2015-03-15T04:24:01.414Z,"148km W of Neiafu, Tonga",earthquake
2015-03-14T20:17:30.620Z,36.8872,-104.7814,1.32,3.7,ml,,45,0.388,0.63,us,us10001men,2015-03-14T22:18:46.844Z,"30km W of Raton, New Mexico",earthquake
2015-03-14T18:39:53.510Z,4.055,126.906,50.17,4.6,mb,,93,3.293,0.67,us,us10001me7,2015-03-17T16:48:26.927Z,"218km SE of Sarangani, Philippines",earthquake
2015-03-14T17:33:10.000Z,58.3139,-156.4059,158.9,2.8,ml,16,208.799983296001,,0.83,ak,ak11530762,2015-03-18T02:29:02.066Z,"44km SSE of King Salmon, Alaska",earthquake
2015-03-14T17:21:53.140Z,1.9324,126.585,48.84,4.4,mb,,133,1.392,0.99,us,us10001mdv,2015-03-17T14:58:37.307Z,"153km NW of Kota Ternate, Indonesia",earthquake
2015-03-14T16:03:47.020Z,-27.802,-71.1155,34.88,5.1,mb,,129,0.388,1.16,us,us10001mda,2015-03-15T02:17:36.068Z,"91km WSW of Copiapo, Chile",earthquake
2015-03-14T15:50:34.000Z,52.4422,-168.9417,24.2,3.4,ml,21,219.599982432001,,0.67,ak,ak11528629,2015-03-18T02:28:43.823Z,"55km S of Nikolski, Alaska",earthquake
2015-03-14T15:36:10.350Z,34.2892,141.7599,22.88,5.4,mb,,146,2,0.96,us,us10001md6,2015-03-14T23:38:45.728Z,"163km SE of Katsuura, Japan",earthquake
2015-03-14T15:27:08.000Z,61.5459,-147.4025,12.2,2.6,ml,79,46.7999962560003,,0.67,ak,ak11528590,2015-03-18T02:27:27.907Z,"72km NW of Valdez, Alaska",earthquake
2015-03-14T14:40:57.100Z,37.0521667,-121.4855,6.68,2.51,md,83,35,0.0525,0.06,nc,nc72411140,2015-03-16T21:57:06.668Z,"8km NE of Gilroy, California",earthquake
2015-03-14T14:31:17.000Z,53.75,-164.8335,59.2,2.8,ml,25,212.399983008001,,0.35,ak,ak11528584,2015-03-18T02:29:20.420Z,"75km SE of Akutan, Alaska",earthquake
2015-03-14T13:57:46.720Z,36.7201,-97.6226,5,3.1,mb_lg,,28,0.231,0.4,us,us10001mca,2015-03-16T15:09:20.077Z,"13km SE of Medford, Oklahoma",earthquake
